City,Latitude,Longitude
Warszawa,52.2319581,21.0067249
Kraków,50.0619474,19.9368564
Łódź,51.7687323,19.4569911
Wrocław,51.1089776,17.0326689
Poznań,52.4006632,16.91973259178088
Gdańsk,54.3706858,18.61298210330077
Szczecin,53.4301818,14.5509623
Bydgoszcz,53.1219648,18.0002529
Lublin,51.250559,22.5701022
Katowice,50.2598987,19.0215852
Białystok,53.127505049999996,23.147050870161664
Gdynia,54.5164982,18.5402738
Częstochowa,50.8120466,19.113213
Radom,51.4022557,21.1541546
Sosnowiec,50.2780834,19.1342944
Toruń,53.0102721,18.6048094
Kielce,50.85402845,20.60991568734511
Rzeszów,50.0374531,22.0047174
Gliwice,50.294113,18.6657306
Zabrze,50.3086154,18.7863749
Olsztyn,53.7767239,20.477780523409734
Bielsko-Biała,49.822118,19.0448936
Bytom,50.3657432,18.87153251609449
Ruda Śląska,50.27034825,18.864387901747556
Rybnik,50.0955793,18.5419933
Tychy,50.114397,18.9965933
Dąbrowa Górnicza,50.3308692,19.2078918
Opole,50.6668184,17.9236408
Elbląg,54.1558708,19.4044583
Płock,52.5464521,19.7008606
Wałbrzych,50.7659054,16.2825424
Gorzów Wielkopolski,52.7309926,15.2400451
Włocławek,52.66017,19.0722963
Tarnów,50.025988299999995,20.96405842696229
Chorzów,50.288556299999996,18.97044253093511
Kalisz,51.74736505,18.079590087700034
Koszalin,54.19092,16.17707
Legnica,51.204768900000005,16.174675034638256
Grudziądz,53.47251195,18.761893676880046
Słupsk,54.46357705,17.02094802171876
Jaworzno,50.203439,19.2721559
Jastrzębie-Zdrój,49.9519085,18.6023614
Pruszków,52.171958950000004,20.802982691260024
Nowy Sącz,49.61030395,20.714936589668028
Mielec,50.280247349999996,21.46313425491699
Ostrowiec Świętokrzyski,50.95020905,21.411509234687305
Siemianowice Śląskie,50.31285075,19.017785857354603
Stargard Szczeciński,53.30897745,15.031645934671849
Pabianice,51.6662312,19.35925466859993
Świdnica,50.8424835,16.4870549
Skierniewice,51.95805445,20.144870111023707
Kędzierzyn-Koźle,50.3448836,18.2109594
Zgierz,51.8555209,19.390634827153598
Łomża,53.18243065,22.052183817808846
Ełk,53.82395835,22.361916488932224
Przemyśl,49.78355525,22.78851130307014
Starachowice,51.03845695,21.082038854471925
Krotoszyn,51.695926,17.4374158
Gniezno,52.52465015,17.598152438162245
Kołobrzeg,54.176211550000005,15.57640369780165
Świnoujście,53.9097477,14.2510703
Jarosław,50.0159029,22.6796573
Zduńska Wola,51.594911550000006,18.950108677704648
Żyrardów,52.05553205,20.44464353021984
Namysłów,51.0766258,17.7185619
Łask,51.5929947,19.1334784
Augustów,53.8437331,22.9802357
Kraśnik,50.943493200000006,22.208352670460982
Pszczyna,49.9778328,18.9425124
Ostrołęka,53.078032,21.574868563752748
Głogów,51.67019285,16.06140366346836
Sandomierz,50.6793066,21.7495055
Suwałki,54.102712499999996,22.931878217494493
Goleniów,53.5656939,14.8299285
Złotów,53.3591987,17.043815994517477
Rawicz,51.6101629,16.8583657
Sanok,49.5567406,22.211701678304745
Lębork,54.5324454,17.74439512714324
Nakło nad Notecią,53.1386896,17.5998891
Nysa,50.4738029,17.3324733
Chojnice,53.6999165,17.570344138115953
Świebodzice,50.872464550000004,16.32287834675313
Wągrowiec,52.81220655,17.201913487483125
Brzeg,50.8588648,17.464124493778538
Luboń,52.336688800000005,16.87184661280476
Wieluń,51.2205345,18.5701081
Łaziska Górne,50.1500892,18.8390661
Węgrów,52.40082835,22.04647848005508
Ostrzeszów,51.4257664,17.9331788
Łęczyca,52.054506200000006,19.198290402458163
Dzierżoniów,50.7291725,16.656753139456175
Bartoszyce,54.2534341,20.80839323665569
Olecko,54.0398024,22.4934246
Bieruń,50.0842685,19.125296379105393
Skarszewy,54.0717523,18.4459951
Zwoleń,51.3564745,21.5844652
Chodzież,52.994997749999996,16.919925663627275
Rydułtowy,50.0664038,18.424506206793204
Bogatynia,50.9077147,14.9539185
Lidzbark Warmiński,54.130586300000004,20.56491698491211
Lubniewice,52.5119594,15.2441003
Jasło,49.746962749999994,21.493576018400987
Pszczyna,49.9778328,18.9425124
